District,Year,Enrolled,Status,Percentage
18,2018,273480.0,Absent Percentage,11.474330846862658
18,2018,194872.0,Absent Percentage,9.272753397101688
18,2018,278518.0,Absent Percentage,9.332969502868755
18,2018,223025.0,Absent Percentage,9.198520345252774
18,2018,306496.0,Absent Percentage,10.399483190645228
18,2018,185811.0,Absent Percentage,18.073203416374703
18,2019,220629.0,Absent Percentage,7.97991197893296
18,2019,260157.0,Absent Percentage,7.883316612660816
18,2019,221237.0,Absent Percentage,9.684636837418696
18,2019,195247.0,Absent Percentage,11.167393096948992
18,2019,256127.0,Absent Percentage,10.7614581828546
18,2019,195921.0,Absent Percentage,9.810076510430225
18,2019,130547.0,Absent Percentage,13.648724214267657
18,2020,117854.0,Absent Percentage,20.460909260610585
18,2020,248350.0,Absent Percentage,15.714113146768675
18,2020,212930.0,Absent Percentage,15.947964119663741
18,2020,201044.0,Absent Percentage,15.159368098525697
18,2020,224720.0,Absent Percentage,14.232378070487716
18,2020,160651.0,Absent Percentage,13.18199077503408
18,2020,233517.0,Absent Percentage,12.907411451842906
18,2020,233044.0,Absent Percentage,12.758963972468717
18,2020,221566.0,Absent Percentage,12.685610608125794
18,2020,198574.0,Absent Percentage,17.24747449313606
19,2018,309296.0,Absent Percentage,9.916390771299985
19,2018,454651.0,Absent Percentage,8.36927665396095
19,2018,371760.0,Absent Percentage,10.233483968151495
19,2018,309906.0,Absent Percentage,10.101127438642685
19,2018,413137.0,Absent Percentage,12.668920963264002
19,2018,288993.0,Absent Percentage,10.480530670293051
19,2018,412602.0,Absent Percentage,10.328112806045535
19,2018,329653.0,Absent Percentage,9.8964668909429
19,2018,453176.0,Absent Percentage,10.756747930163998
19,2018,286123.0,Absent Percentage,17.761941542623276
19,2019,348131.0,Absent Percentage,9.184186412586067
19,2019,409627.0,Absent Percentage,8.6381024688314
19,2019,348304.0,Absent Percentage,10.085442601865036
19,2019,307119.0,Absent Percentage,11.550245995851771
19,2019,406209.0,Absent Percentage,11.9411435984924
19,2019,305963.0,Absent Percentage,10.25385422420358
19,2019,203979.0,Absent Percentage,14.097039401114822
19,2020,192919.0,Absent Percentage,21.21771313349126
19,2020,407545.0,Absent Percentage,14.069857316369971
19,2020,348980.0,Absent Percentage,11.94079889965041
19,2020,329114.0,Absent Percentage,10.540420644518314
19,2020,367293.0,Absent Percentage,10.457318816312862
19,2020,263018.0,Absent Percentage,10.054825145047106
19,2020,384025.0,Absent Percentage,9.645726189701191
19,2020,384210.0,Absent Percentage,10.112698784518882
19,2020,365036.0,Absent Percentage,9.972441074305
19,2020,331371.0,Absent Percentage,14.519073787386343
20,2018,746069.0,Absent Percentage,5.205282621312506
20,2018,1094135.0,Absent Percentage,4.6882697290553725
20,2018,894712.0,Absent Percentage,5.064422965155268
20,2018,745009.0,Absent Percentage,5.674025414458081
20,2018,981010.0,Absent Percentage,6.472207215013098
