District,Year,Attendance Percentage,Number Tested,Mean Scale Score,Pct Level 1,Pct Level 2,Pct Level 3,Pct Level 4,Pct Level 3 and 4,Subject,DBN,Total Enrollment,Economic Need Index,Borough
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M225,324.0,0.359,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M234,638.0,0.092,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M255,394.0,0.142,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M260,726.0,0.21,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M267,414.0,0.091,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M276,849.0,0.173,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M280,416.0,0.728,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M281,338.0,0.193,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M282,390.0,0.7140000000000001,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M288,375.0,0.7829999999999999,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M289,284.0,0.48,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M290,595.0,0.09,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M294,339.0,0.69,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M296,380.0,0.872,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M297,561.0,0.311,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M298,572.0,0.7509999999999999,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M300,302.0,0.868,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M303,372.0,0.862,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M305,324.0,0.85,Manhattan
